"All","All"
"Allowed Scopes","Allowed Scopes"
"Custom","Custom"
"None","None"
"Not enough permissions to delete this item.","Not enough permissions to delete this item."
"Not enough permissions to save specified Combination of Store Scopes.","Not enough permissions to save specified Combination of Store Scopes."
"Not enough permissions to save this item.","Not enough permissions to save this item."
"Not enough permissions to set All Scopes to a Role.","Not enough permissions to set All Scopes to a Role."
"Not enough permissions to view this item.","Not enough permissions to view this item."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"Role Scopes","Role Scopes"
"Specify at least one website or one store group.","Specify at least one website or one store group."
"This item must be assigned to a store view.","This item must be assigned to a store view."
"This item must be assigned to a website.","This item must be assigned to a website."
"Website ""%s"" is not allowed in your current permission scope.","Website ""%s"" is not allowed in your current permission scope."
"Wrong store ID: %d","Wrong store ID: %d"
"Wrong website ID: %d","Wrong website ID: %d"
"You cannot create order in dissalowed store","You cannot create order in dissalowed store"
